,twt_date,retweet_count,like_count,tweet,user_id
0,2022-06-27T15:21:25.000Z,0,0,Quem usar eu mando ifood https://t.co/1qoE58xtR9,1427447838724743171
1,2022-06-27T15:21:19.000Z,34,0,"RT @agabrielhot: 🛵 O Entregador Baiano!
💥 Aventuras em Salvador...
(Fiquei com aquela fome e resolvi pedir algo no ifood... Eu só não imagi…",1316427699993403397
2,2022-06-27T15:21:18.000Z,0,0,Ganhei 30$ no ifood mercados fiz uma comprinhas boa,819925546108944390
3,2022-06-27T15:21:16.000Z,0,0,"@pinkygl0ck Gaste dinheiro comigo, me mande um ifood",1254200607784816645
4,2022-06-27T15:21:10.000Z,0,0,"Declaração igual a essa só mostra a importância de um grande jogador.
Já os ifood de todos os jogos vcs nunca viram falar que iam treinar 500 vezes pra não entregar nos jogos.
Então gabigol Lil ensina aos nossos ifoods sua reflexão https://t.co/fBFs0m3tmd",1217425623628636160
5,2022-06-27T15:20:49.000Z,222,0,RT @Brunoso13763312: Não tenho nada a reclamar do ifood https://t.co/j0NyYYnFjf,1258245129875476482
6,2022-06-27T15:20:47.000Z,0,0,"Vi um cardápio mt bom porém desconhecido no ifood, arrisquei espero gostar kkk",320372015
7,2022-06-27T15:17:19.000Z,1702,0,RT @Rutiellysexy: Entregador do Ifood veio aqui em casa entregar a pizza ao me ver de calcinha fio dental ele não resistiu e botou no meu c…,1414241744686915586
8,2022-06-27T15:17:15.000Z,0,0,eu fui fazer minha própria comida depois de semanas vivendo de ifood e eu simplesmente não sei mais cozinhar tudo saiu horrível salgado feio mal feito meu deus eu tento ser prudente mas ó o que acontece,1201588044618489858
9,2022-06-27T15:15:31.000Z,0,0,@Bibsnicoly2 @fferbr @iFood Única coisa q da pra roubar,1510734297879166976
10,2022-06-27T15:14:56.000Z,0,0,alelo n ta passando no @ifood mais alguem com problemas?,90463673
11,2022-06-27T15:14:10.000Z,0,0,@mibr @nakfps chego o entregador do Ifood com sua mochila,486173675
12,2022-06-27T15:13:01.000Z,0,0,"Aquela do Tierry: se acaso chegar coisa do ifood pra vc no meu nome quando vc estiver de tpm, hackearam-me",2331295315
13,2022-06-27T15:10:09.000Z,0,0,@darllanmarinho @interpig @iFood Cerveja! 😂😂😂,907581421358809088
14,2022-06-27T15:10:02.000Z,65,0,RT @Bimineiro24: Dando um trato no entregador do ifood https://t.co/yzCeOTcglM,1158691076410155008
15,2022-06-27T15:08:43.000Z,0,0,"O @iFood te induz a errar
você abre um cupom de desconto com o intuito de ver as lojas que estão participando, ae quando você abre o restaurante e seleciona o que quer, o cupom não é aplicado

ISSO É SAFADEZA DO @iFood",1153781310353223686
16,2022-06-27T15:06:53.000Z,0,0,"O Chat do Ifood anda mais trágico que uma ópera. Nunca vi tanta gente com história triste, pqp.",183347278
17,2022-06-27T15:06:26.000Z,0,0,Graças a Deus encontrei o “ifood” aqui da Itália e acabou a agonia de comer pão todo dia 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,825868410038935554
18,2022-06-27T15:05:52.000Z,0,0,"Alguém já fez compras de supermercados pelo @iFood , As carnes vem Boa ou zoadas ?",1181246969668341761
19,2022-06-27T15:02:45.000Z,0,1,vr na conta dia de pedir almoço caro no ifood,307391079
20,2022-06-27T15:02:21.000Z,222,0,RT @Brunoso13763312: Não tenho nada a reclamar do ifood https://t.co/j0NyYYnFjf,1481273304975646720
21,2022-06-27T15:02:14.000Z,0,0,Mano do céu a entrega mais rápida de todo o ifood,1282825534750294017
22,2022-06-27T14:59:21.000Z,0,1,"@chaoscake /manda um ifood pra gata

não precisa agradecer 😎",1541255800118714369
23,2022-06-27T14:59:17.000Z,0,0,@iFood me da um cuponzinho de aniversário pfv,3599151977
24,2022-06-27T14:59:02.000Z,0,0,"@riibemat @iFood Sentimos muito o ocorrido, faz o seguinte, nos chame via inbox relatando qual foi o problema? Vamos conversar.",370382016
25,2022-06-27T14:58:13.000Z,0,0,Pedi ifood no trabalho e coloquei o endereço de casa🤡🤡🤡🤡🤡🤡,2748507323
26,2022-06-27T14:57:55.000Z,0,0,ai almoço você podia se fazer né to a fim de pedir ifood tbm não,2516506777
27,2022-06-27T14:57:35.000Z,0,0,@Pau_Caipira O iFood todo é uma palhaçada,1427576528255213595
28,2022-06-27T14:57:06.000Z,0,0,"@simpraisa @TozzaFla Graças aos céus. 
Vá embora encosto maldito, ifood dos infernos.",156038869
