,user_id,screen_name,verified,followers_count
0,33392374,Nubiagalo,False,2647
1,96815345,_sarila,False,914
2,1445067458256244736,rangoverdeveg,False,2
3,1074163397124603904,motoboy_ce,False,1670
4,1211245470690922496,_SoaresDuda,False,177
5,3245671912,sailorvivi8,False,706
6,1473090121507483649,tullajesusfreak,False,87
7,1441158024966467587,Gravetoo_,False,40
8,103348066,edu_modesto,False,545
9,248769493,_SuryaChandra,False,460
10,1500875069165387777,TheRafaelDantes,False,2
11,1001846427792879622,biazinhaaa9334,False,553
12,919274239668162561,capitadre,False,445
13,1091459536714641408,chaverexx,False,33
14,126984644,Beardtastic77,False,98
15,1538945155117592577,NathaliaGraton,False,27
16,1276170799943221248,Mateusinho__6,False,32
17,869672031230492672,gablaleska,False,1792
18,1123352017676787714,caiou_cs,False,106
19,790567844123701249,hobi_flwr,False,1047
20,1079602413248696321,adalberteau,False,54
21,1519040425222447104,Marcelodnzts,False,7
22,1283464250359517185,luannycirqueira,False,164
23,1242266500863365120,MegDrama,False,175
24,842061663771729921,nicolauU1000D,False,397
25,1511779152810151936,marysbna,False,106
26,436993190,evycastilho,False,4688
27,1535335275336957957,oproprioSBlack,False,265
28,4839966359,BrunisFrr,False,258
29,1513321578062307328,acklesboss,False,12
30,1148172800659742720,handellan,False,4237
31,1068358118034296833,isiv_andre,False,123
32,874054985314693121,Ozielleizo0877,False,79
33,145625670,phcastroalves,False,6731
34,1124687031978926081,FabianoBueno08,False,105
35,121912201,aff0202,False,55
36,359580204,br_h_l,False,1123
37,2592012710,alaska_andria,False,557
38,1102220981999935488,Acrianoohzin,False,168
39,1064958350239125506,mrrlnysntx,False,386
40,23457999,thiagocamargo,True,5232
41,2770230621,adrihnavy,False,303
42,34318694,Regys_Silva,False,772
43,1016836189872107525,UnicoStuart,False,37
44,179597184,borbapalmeiras,False,261
45,3173419044,eduarda_mfagun,False,964
46,1271534302694645764,jhow_anna,False,383
47,1092897161858203649,aslion,False,4662
48,17548865,luanborges,True,6042
49,905133407218302976,Raquel_Santos43,False,431
50,4857973979,patroamesmo,False,2812
51,903283910309797889,biel_faustino10,False,1178
52,223888043,crf_pereir,False,1106
53,822576714031202311,_9gabriel6_,False,70
54,892983655785779200,fofocasdemim,False,357
55,2301213678,maioamarelo,False,3565
56,1458238084189917192,acklesket,False,610
57,1539611399340662787,RobeniltonBorg8,False,11
58,3114359877,LorraneStyles,False,3920
59,117286516,Nikkiezinha,False,406
60,752210003466092546,Ber_Natti,False,141
61,1350251445132668928,hudson_pedrosep,False,304
62,1207438853369466881,hmgirassol,False,121
63,2172842226,lorotanasio,False,364
64,2655136477,Vantelilmeow,False,1140
65,122452987,Karinah_sp,False,974
66,763918470954127360,ferrzanato,False,722
67,339402915,PequenBelieber,False,7671
68,57761097,batsymary,False,15
69,1649273581,starksdis,False,1508
70,1306451825542025216,mo_anaLouiZe,False,177
71,4115057236,rafaamusiello,False,163
72,1494815690930466819,LUFFYCARTOES,False,77
